"web_x","web_y"
1567606.47037294,1468504.81198483
1567975.43031248,1468468.30230242
1570592.3347793,1468477.71242318
1578108.81004572,1468388.43686345
1578914.99890837,1468452.32145861
1583289.4251858,1468443.22577809
1590319.51335419,1468242.00160548
1591300.67937418,1468305.99723313
1591649.35946219,1468301.09707935
1591702.44717384,1468300.33481742
1593545.0154846,1468273.98243803
1594252.88874925,1468138.07126517
1597927.19350998,1468239.5989877
1598626.99477998,1468302.60974016
1599327.22386175,1468135.96083996
1602659.53926034,1468128.81257357
1607300.25429495,1468131.92794677
1608570.96290748,1468042.89404862
1609278.40898741,1468097.94759052
1609850.81231584,1467234.05128283
1612048.36837637,1464008.02651597
1612383.99524475,1463534.07184336
1612470.63589043,1463422.15048861
1614574.11356834,1460706.20443273
1615292.40528105,1459586.35775499
1615372.14468558,1459462.02993267
1615621.02499838,1459078.80732823
1616583.73735982,1457595.97963909
1617470.00099673,1456292.89036409
1617414.26493986,1455839.75996278
1617006.45357781,1455206.75783589
1617285.17306054,1454531.07231612
1617989.35035204,1452885.83134133
1618165.3948662,1452459.77487593
1618559.83733101,1452401.71640929
1619144.22781938,1452329.2808916
1619495.0337528,1452153.46138441
1619539.62853177,1452070.56134624
1619622.12887573,1451916.96269948
1619622.34308281,1451777.19853677
1619622.77039563,1451580.57123923
1619599.20082589,1451477.08341275
1619587.20370171,1451424.46816698
1619623.30589665,1451232.31003853
1619710.68996729,1451104.4240554
1619724.91775157,1451083.50919534
1619758.57604307,1451032.09354515
1619886.52002415,1450836.45348444
1620161.51818826,1450548.66140936
1620239.66455686,1450453.89310211
1620388.73725228,1450272.8538285
1620496.50753587,1450104.77767057
1620604.0654654,1449936.92035578
1620677.64731406,1449764.92432708
1620711.94303709,1449684.86319856
1620795.82464338,1449456.88064899
1620891.81168057,1449120.73732598
1620919.63685932,1448575.89991365
1620921.23492888,1448165.26337096
1620921.98406344,1447719.12488076
1620878.24421954,1447384.41607177
1620900.86356968,1447083.25856765
1621244.87561949,1446804.98093418
1621466.78460776,1446626.90647531
1621636.87969435,1446471.15998201
1621722.13958986,1446393.1781414
1621717.04435899,1446303.21472915
1621711.31220367,1446203.55825176
1621595.7956591,1446028.42367513
1621556.61771287,1445969.06549503
1621347.66448621,1445968.73595855
1621246.3731364,1445968.5167764
1620913.83113335,1446012.51321523
1620603.48023494,1446023.18255295
1620426.1672856,1446022.85343863
1620311.92350456,1445949.3355795
1620304.49128846,1445944.543311
1620177.18871711,1445811.55923764
1620221.04263194,1445549.40884129
1620195.45805549,1445269.5075235
1620162.12376213,1444907.16462693
1620096.29986669,1444538.9448719
1619996.92262275,1444315.68388654
1619989.06944638,1444027.62694332
1620035.6862971,1443585.25631504
1620196.86465421,1443276.95305114
1620372.58943073,1442939.24987841
1620504.6766916,1442557.33664773
1620739.3326973,1441925.83538172
1621044.70004701,1441406.72907505
1621097.47452795,1441004.68975857
1621046.19778873,1440550.05959426
1620961.79729876,1439868.9444179
1620850.31699173,1439573.96185851
1620772.91780854,1439369.03297523
1620699.34048172,1439198.94952101
1620569.27954711,1438898.52928372
1620263.50053568,1438427.814165
1620134.49957018,1438263.07084593
1619986.81204347,1438074.5917081
1619892.21123739,1437961.2434204
1619637.07573384,1437655.28149615
1619258.67486503,1437022.79101652
1619029.55703469,1436359.50434379
1619047.9328448,1435791.39231988
1619126.82680149,1435363.19350104
1619292.4653787,1434987.69589388
1619519.0495597,1434542.30956127
1619771.5396216,1434166.93266603
1620081.79025836,1433703.81486868
1620403.29210527,1433498.71533145
1620753.2431866,1433734.41529367
1620956.98956895,1434057.97147344
1621020.69365131,1434147.02636906
1621104.25217262,1434263.84329339
1621146.40304081,1434322.7418479
1621511.00768116,1434455.56700873
1621517.0596728,1434456.11143594
1621832.18792607,1434485.51036457
1621965.12067353,1434399.72310826
1622036.6835101,1434353.5635738
1622314.44167048,1434104.25837332
1622438.03161015,1433970.46150347
1622549.09838498,1433414.15524025
1622477.1195333,1432797.00273367
1622440.60065046,1432379.84183791
1622434.98077509,1431812.67874198
1622581.50784287,1431431.02216245
1622844.82709763,1431108.26360746
1623122.58563179,1430829.59536859
1623341.73380001,1430668.38343801
1623604.73241556,1430507.172986
1624100.9970746,1430449.26902761
1624349.12940632,1430420.20823718
1624699.18745026,1430597.10140718
1625034.48596191,1430862.05968665
1625252.9913241,1431141.49681082
1625558.98465492,1431465.13414628
1625733.63880237,1431803.25166187
1625966.5826776,1432185.5713611
1626054.38774681,1432338.8489437
1626286.8004415,1432744.36352038
1626534.39652441,1433126.69587968
1626782.31439997,1433259.29625204
1627049.98087197,1433394.40139897
1627103.17440685,1433421.29186127
1627307.56189841,1433436.31800678
1627439.11458936,1433333.65974315
1627472.13542338,1433312.43148674
1627632.4616581,1433209.44745046
1627731.7411543,1432790.54056363
1627732.16976552,1432491.38635444
1627732.49052502,1432320.47358804
1627616.55445116,1431747.322918
1627501.03946331,1431450.89943322
1627427.46235944,1431262.2480972
1627209.27839295,1430762.48554771
1627185.17687217,1430739.51673954
1626932.37635199,1430497.63780561
1626786.599227,1430365.26917498
1626757.93627279,1430027.38811633
1626846.06647016,1429674.92646414
1627284.04141303,1429572.72101327
1627736.34773961,1429646.85458999
1628057.314883,1429735.46387814
1628422.02668315,1429794.79286597
1628699.3564982,1429824.5130856
1629049.73691762,1429707.5021409
1629458.7280848,1429443.65276948
1629809.42951901,1429135.72102307
1630057.88287457,1428915.74065384
1630291.89809417,1428563.51214899
1630481.84860045,1428358.12076849
1630803.4591145,1427961.92682229
1631153.94685731,1427756.75951013
1631518.9796778,1427625.06320878
1631898.55814995,1427522.75536202
1632394.82284033,1427464.63965383
1632905.63280198,1427465.29943776
1633343.39445647,1427436.46180759
1633795.70080936,1427510.48105426
1634423.19623396,1427614.10824145
1634904.59351351,1427776.29200605
1635371.3382061,1427967.75575971
1635706.95796527,1428026.97188275
1636130.066088,1428100.88340837
1636421.9419562,1428130.60206864
1636743.01721353,1428072.15629109
1637120.25977998,1427974.74484571
1637195.53841269,1427955.26259353
1637389.41589668,1427866.77438115
1637516.82716733,1427808.65312
1637711.55421606,1427707.75715156
1637969.45606978,1427574.20930791
1638232.45584846,1427324.74462634
1638466.25795362,1427031.30973995
1638560.01289607,1426874.25322561
1638584.43377451,1426833.43826316
1638656.20992398,1426713.27934572
1638685.51497799,1426664.30166961
