"","lat","long","ntest","npos","utm_x","utm_y","elevation"
"1",6.2878,-10.4671,50,14,337050.603097923,695084.298351973,17.8262080000002
"2",6.5725,-10.451113,46,10,338908.944461494,726563.055892762,104.850704
"3",6.56667,-10.02615,43,11,385901.678674322,725802.163073738,119.0954344
"4",6.73333,-10.28775,50,10,357021.450259961,744298.060204252,144.109212000008
"5",6.016667,-10.03595,48,9,384697.539867017,664991.742650576,19.0350772000001
"6",6.266666,-10.335,50,13,351661.822205815,692708.164863015,16.9995359999997
"7",6.13541,-9.63333,43,9,429277.952513581,678051.437539624,137.753601279998
"8",6.2375,-10.06875,50,11,381115.375839651,689415.864271314,101.75
"9",6.3869,-9.73333,47,11,418250.82090684,705869.987107427,147.128668799996
"10",5.7354,-9.7856,43,0,412365.065302404,633849.09054918,26.6105440000003
"11",6.2209,-10.2428,43,1,361851.979024438,687622.518834467,126.852160000004
"12",6.5352,-9.8252,48,10,408115.763968724,722281.714396048,191.126016000004
"13",5.88727,-9.63597,48,1,428953.932079671,650618.512540158,72.26973888
"14",5.74213,-9.517081,50,1,442101.141784684,634559.333249675,83.0528000000003
"15",6.63372,-9.60016,50,9,433012.633697267,733138.599350569,179.054090880001
"16",6.651113,-9.383334,43,7,456983.967912784,735037.704951432,219.6337945216
"17",6.811113,-9.9021,50,10,399668.059135445,752802.67557186,275.385842880001
"18",6.9021,-10.23525,47,15,362873.010828289,762945.255986148,168.741919999999
"19",6.8161,-10.36668,49,17,348321.383102651,753474.715564505,153.829017599999
"20",7.00111,-10.24976,43,15,361298.426032159,773897.83832575,182.7222192
"21",6.86667,-9.5365,45,7,440078.589818775,758884.758688641,209.68256
"22",7.08544,-9.583333,49,10,434933.584333073,783077.746968767,293.680011232
"23",7.071,-9.18336,50,9,479107.278249478,781444.893973463,266.372336
"24",7.30432,-9.28937,41,8,467415.301090498,807245.663844371,391.74481312
"25",7.16595,-9.58689,50,14,434552.035209008,791979.391202582,328.638532799999
"26",6.46867,-8.716667,50,13,530689.717210316,714860.712376651,243.038900768
"27",6.7205,-8.87524,43,8,513147.475709934,742693.906269156,248.748256
"28",6.73689,-8.46873,50,12,558075.937662711,744536.026281457,261.13335136
"29",6.9686,-8.55428,45,9,548596.709226283,770143.471291921,314.6855136
"30",7.0003,-8.95224,42,8,504633.942418764,773625.044286927,235.9612928
"31",7.13577,-8.48523,49,11,556204.418057503,788633.190437934,324.141598079999
"32",7.2201,-8.60247,50,9,543249.283856279,797943.638423663,368.044982399998
"33",7.36858,-8.405,50,14,565030.774138089,814383.395795061,355.437759999999
"34",7.58543,-8.53692,50,16,550444.692689134,838340.905925976,528.469068159998
"35",6.466678,-10.633811,50,12,318665.084454762,714921.916964983,43.4527379552002
"36",6.73333,-10.53345,46,14,329858.028994511,744376.47018364,106.9160224
"37",6.51668,-10.78335,50,4,302141.08340142,720507.879994098,26.9808127999993
"38",6.60034,-11.03333,50,3,274523.106408971,729866.867904036,16.3905183999999
"39",6.76667,-10.783334,46,10,302242.401783964,748157.798059815,62.499840064
"40",6.89954,-11.033324,50,10,274661.854916199,762964.462200525,59.9000509439995
"41",6.851133,-11.116668,50,6,265424.055291606,757649.460169997,28.5461772032
"42",6.86667,-11.40335,43,5,233731.455242952,759517.809201934,15.9525608
"43",7.10087,-11.23333,50,10,252655.183680045,785337.616662938,67.8572
"44",6.78333,-11.26667,43,1,248802.402268811,750223.637697762,11.7495985599999
"45",7.0556,-10.76678,50,9,304191.313285076,780108.009801528,154.262860800001
"46",7.11333,-9.83333,46,14,407327.218886684,786203.510026966,232.605842239999
"47",7.23334,-10.05003,43,9,383423.37097116,799521.990579457,221.212225920002
"48",7.28333,-10.451113,49,15,339149.090097117,805172.060256489,307.242080000001
"49",7.38333,-9.46667,50,14,447852.223869087,815997.308367371,306.995599039998
"50",7.550113,-9.48335,50,12,446031.430869676,834438.698958996,339.231846720001
"51",7.7333,-10.11668,46,9,376203.907724692,854823.136080252,350.7255168
"52",7.88333,-9.451113,50,16,449627.081405808,871275.424620811,468.899880000001
"53",7.73368,-9.59167,50,10,434108.223486221,854748.999818255,350.435683519999
"54",7.911111,-9.46,44,9,448650.734982897,874347.995538912,462.816691999999
"55",7.96667,-10.1405,50,11,373646.71149799,880635.874618149,461.439296
"56",8.15075,-9.98333,43,8,391021.523594894,900945.914484925,530.015791999997
"57",8.21667,-9.601,50,14,433156.969824149,908151.81060328,524.920944000003
"58",8.26708,-10.0708,48,10,381417.940411715,913833.965568403,509.123616
"59",8.46911,-9.7378,50,11,418139.589254914,936089.035106462,585.211289600001
"60",8.26667,-10.2928,43,10,356962.536547901,913861.15342312,420.6409808
