"","utm_x","utm_y"
"1",382149.78198302,652831.101068762
"2",382125.537094982,652831.147427879
"3",382125.595873018,652861.883277819
"4",382094.819270041,652861.942142854
"5",382094.878066188,652892.677995848
"6",382064.10147585,652892.73687899
"7",382064.159866977,652923.251613733
"8",382033.383712386,652923.531636245
"9",382033.442121499,652954.046373996
"10",382002.665556287,652954.105293337
"11",382002.724406761,652984.841155417
"12",381972.169268226,652984.899668803
"13",381972.28700795,653046.37139925
"14",381941.510483365,653046.43035744
"15",381941.628264853,653107.902094567
"16",381972.404758719,653107.843130906
"17",381972.58098194,653199.829609235
"18",381941.804534047,653199.888581082
"19",381941.922343116,653261.360321154
"20",381911.145923178,653261.419313856
"21",381911.91151498,653660.654006609
"22",381881.135716216,653660.934171666
"23",381881.312226141,653752.920690523
"24",381850.536046494,653752.979757764
"25",381850.595045462,653783.715641178
"26",381819.818878427,653783.774726552
"27",381820.054963452,653906.718274172
"28",381789.278855198,653906.777385897
"29",381789.396520256,653968.028045431
"30",381758.620439901,653968.087178015
"31",381758.738571547,654029.558965744
"32",381728.183929673,654029.617693589
"33",381728.243014917,654060.353590607
"34",381697.245564879,654060.413187853
"35",381697.304668384,654091.149087947
"36",381635.974021817,654091.267056861
"37",381636.033158746,654122.002962701
"38",381543.705099068,654122.180678481
"39",381543.764284919,654152.916592856
"40",381482.43367235,654153.03472597
"41",381482.492891631,654183.770646106
"42",381451.716891515,654183.829951698
"43",381451.598424956,654122.358106222
"44",381482.042340397,654122.29944597
"45",381481.983126496,654091.563526398
"46",381451.539195838,654091.622183933
"47",381451.420745921,654030.150340232
"48",381420.644666156,654030.209647492
"49",381420.526196572,653968.737799477
"50",381389.750083299,653968.797116643
"51",381389.690837289,653938.061190347
"52",381358.804000353,653938.120733609
"53",381358.981793018,654030.328521692
"54",381328.205704987,654030.387875213
"55",381328.264990142,654061.123807909
"56",381297.488914731,654061.183179582
"57",381297.548218046,654091.919115344
"58",381235.996089744,654092.0379104
"59",381236.11476624,654153.509793795
"60",381174.784098818,654153.628233783
"61",381174.843471893,654184.364181409
"62",381113.291413892,654184.483115994
"63",381113.350393123,654214.997947458
"64",381082.574375243,654215.057440594
"65",381082.633800018,654245.793397068
"66",381021.081786789,654245.912435072
"67",381021.260170134,654338.120322845
"68",380959.929648014,654338.239010436
"69",380959.989145364,654368.974979108
"70",380898.437233178,654369.094162218
"71",380898.496764093,654399.830136706
"72",380960.0486455,654399.710948078
"73",380960.108148421,654430.446917348
"74",380867.780368341,654430.625731684
"75",380867.839920222,654461.361709526
"76",380775.51216144,654461.540670847
"77",380775.571333492,654492.055535062
"78",380744.795423656,654492.115222403
"79",380744.855042663,654522.85121189
"80",380714.300554776,654522.910487816
"81",380714.360191856,654553.646480333
"82",380683.362898036,654553.706633639
"83",380683.422553413,654584.442629238
"84",380622.09221589,654584.561698438
