"web_x","web_y","popdens"
-9010823.1848889,2899539.20909658,0
-9010823.1848889,2919539.20909658,0
-8990823.1848889,2919539.20909658,9
-8970823.1848889,2919539.20909658,9
-8950823.1848889,2919539.20909658,21
-9030823.1848889,2939539.20909658,0
-9010823.1848889,2939539.20909658,0
-8990823.1848889,2939539.20909658,2
-8970823.1848889,2939539.20909658,3
-8950823.1848889,2939539.20909658,523
-9030823.1848889,2959539.20909658,0
-9010823.1848889,2959539.20909658,0
-8990823.1848889,2959539.20909658,2
-8970823.1848889,2959539.20909658,2
-8950823.1848889,2959539.20909658,1991
-9050823.1848889,2979539.20909658,0
-9030823.1848889,2979539.20909658,0
-9010823.1848889,2979539.20909658,0
-8990823.1848889,2979539.20909658,2
-8970823.1848889,2979539.20909658,2
-8950823.1848889,2979539.20909658,1991
-8930823.1848889,2979539.20909658,1991
-9090823.1848889,2999539.20909658,79
-9070823.1848889,2999539.20909658,1
-9050823.1848889,2999539.20909658,1
-9030823.1848889,2999539.20909658,1
-9010823.1848889,2999539.20909658,1
-8990823.1848889,2999539.20909658,0
-8970823.1848889,2999539.20909658,0
-8950823.1848889,2999539.20909658,661
-8930823.1848889,2999539.20909658,661
-9090823.1848889,3019539.20909658,212
-9070823.1848889,3019539.20909658,1
-9050823.1848889,3019539.20909658,1
-9030823.1848889,3019539.20909658,1
-9010823.1848889,3019539.20909658,1
-8990823.1848889,3019539.20909658,0
-8970823.1848889,3019539.20909658,0
-8950823.1848889,3019539.20909658,223
-8930823.1848889,3019539.20909658,223
-9090823.1848889,3039539.20909658,212
-9070823.1848889,3039539.20909658,1
-9050823.1848889,3039539.20909658,1
-9030823.1848889,3039539.20909658,1
-9010823.1848889,3039539.20909658,1
-8990823.1848889,3039539.20909658,0
-8970823.1848889,3039539.20909658,0
-8950823.1848889,3039539.20909658,223
-8930823.1848889,3039539.20909658,223
-9110823.1848889,3059539.20909658,204
-9090823.1848889,3059539.20909658,3
-9070823.1848889,3059539.20909658,46
-9050823.1848889,3059539.20909658,4
-9030823.1848889,3059539.20909658,4
-9010823.1848889,3059539.20909658,6
-8990823.1848889,3059539.20909658,0
-8970823.1848889,3059539.20909658,0
-8950823.1848889,3059539.20909658,0
-8930823.1848889,3059539.20909658,0
-9130823.1848889,3079539.20909658,542
-9110823.1848889,3079539.20909658,542
-9090823.1848889,3079539.20909658,57
-9070823.1848889,3079539.20909658,4
-9050823.1848889,3079539.20909658,4
-9030823.1848889,3079539.20909658,4
-9010823.1848889,3079539.20909658,6
-8990823.1848889,3079539.20909658,21
-8970823.1848889,3079539.20909658,1
-8950823.1848889,3079539.20909658,156
-8930823.1848889,3079539.20909658,156
-9150823.1848889,3099539.20909658,105
-9130823.1848889,3099539.20909658,542
-9110823.1848889,3099539.20909658,542
-9090823.1848889,3099539.20909658,57
-9070823.1848889,3099539.20909658,4
-9050823.1848889,3099539.20909658,4
-9030823.1848889,3099539.20909658,4
-9010823.1848889,3099539.20909658,6
-8990823.1848889,3099539.20909658,21
-8970823.1848889,3099539.20909658,1
-8950823.1848889,3099539.20909658,156
-8930823.1848889,3099539.20909658,156
-9150823.1848889,3119539.20909658,305
-9130823.1848889,3119539.20909658,8
-9110823.1848889,3119539.20909658,8
-9090823.1848889,3119539.20909658,4
-9070823.1848889,3119539.20909658,3
-9050823.1848889,3119539.20909658,3
-9030823.1848889,3119539.20909658,3
-9010823.1848889,3119539.20909658,4
-8970823.1848889,3119539.20909658,4
-8950823.1848889,3119539.20909658,87
-8930823.1848889,3119539.20909658,87
-9170823.1848889,3139539.20909658,35
-9150823.1848889,3139539.20909658,7
-9130823.1848889,3139539.20909658,14
-9110823.1848889,3139539.20909658,14
-9090823.1848889,3139539.20909658,6
-9070823.1848889,3139539.20909658,6
-9050823.1848889,3139539.20909658,6
-9030823.1848889,3139539.20909658,6
-9010823.1848889,3139539.20909658,4
-8970823.1848889,3139539.20909658,13
-8950823.1848889,3139539.20909658,44
-8930823.1848889,3139539.20909658,44
-9170823.1848889,3159539.20909658,8
-9150823.1848889,3159539.20909658,8
-9130823.1848889,3159539.20909658,14
-9110823.1848889,3159539.20909658,14
-9090823.1848889,3159539.20909658,8
-9070823.1848889,3159539.20909658,49
-9050823.1848889,3159539.20909658,10
-9030823.1848889,3159539.20909658,10
-9010823.1848889,3159539.20909658,3
-8990823.1848889,3159539.20909658,3
-8970823.1848889,3159539.20909658,4
-8950823.1848889,3159539.20909658,397
-9190823.1848889,3179539.20909658,499
-9170823.1848889,3179539.20909658,8
-9150823.1848889,3179539.20909658,8
-9130823.1848889,3179539.20909658,14
-9110823.1848889,3179539.20909658,14
-9090823.1848889,3179539.20909658,8
-9070823.1848889,3179539.20909658,49
-9050823.1848889,3179539.20909658,10
-9030823.1848889,3179539.20909658,10
-9010823.1848889,3179539.20909658,3
-8990823.1848889,3179539.20909658,3
-8970823.1848889,3179539.20909658,4
-8950823.1848889,3179539.20909658,397
-9190823.1848889,3199539.20909658,108
-9170823.1848889,3199539.20909658,7
-9150823.1848889,3199539.20909658,7
-9130823.1848889,3199539.20909658,25
-9110823.1848889,3199539.20909658,25
-9090823.1848889,3199539.20909658,8
-9070823.1848889,3199539.20909658,70
-9050823.1848889,3199539.20909658,20
-9030823.1848889,3199539.20909658,20
-9010823.1848889,3199539.20909658,3
-8990823.1848889,3199539.20909658,4
-8970823.1848889,3199539.20909658,6
-8950823.1848889,3199539.20909658,437
-9210823.1848889,3219539.20909658,1480
-9170823.1848889,3219539.20909658,206
-9150823.1848889,3219539.20909658,34
-9130823.1848889,3219539.20909658,36
-9110823.1848889,3219539.20909658,36
-9090823.1848889,3219539.20909658,29
-9070823.1848889,3219539.20909658,30
-9050823.1848889,3219539.20909658,12
-9030823.1848889,3219539.20909658,12
-9010823.1848889,3219539.20909658,2
-8990823.1848889,3219539.20909658,3
-8970823.1848889,3219539.20909658,81
-9210823.1848889,3239539.20909658,1480
-9170823.1848889,3239539.20909658,206
-9150823.1848889,3239539.20909658,34
-9130823.1848889,3239539.20909658,36
-9110823.1848889,3239539.20909658,36
-9090823.1848889,3239539.20909658,29
-9070823.1848889,3239539.20909658,30
-9050823.1848889,3239539.20909658,12
-9030823.1848889,3239539.20909658,12
-9010823.1848889,3239539.20909658,2
-8990823.1848889,3239539.20909658,3
-8970823.1848889,3239539.20909658,81
-9210823.1848889,3259539.20909658,130
-9190823.1848889,3259539.20909658,64
-9170823.1848889,3259539.20909658,572
-9150823.1848889,3259539.20909658,105
-9130823.1848889,3259539.20909658,340
-9110823.1848889,3259539.20909658,340
-9090823.1848889,3259539.20909658,134
-9070823.1848889,3259539.20909658,32
-9050823.1848889,3259539.20909658,2
-9030823.1848889,3259539.20909658,2
-9010823.1848889,3259539.20909658,2
-8990823.1848889,3259539.20909658,3
-9190823.1848889,3279539.20909658,80
-9170823.1848889,3279539.20909658,55
-9150823.1848889,3279539.20909658,128
-9130823.1848889,3279539.20909658,29
-9110823.1848889,3279539.20909658,29
-9090823.1848889,3279539.20909658,18
-9070823.1848889,3279539.20909658,360
-9050823.1848889,3279539.20909658,61
-9030823.1848889,3279539.20909658,61
-9010823.1848889,3279539.20909658,2
-8990823.1848889,3279539.20909658,88
-9190823.1848889,3299539.20909658,80
-9170823.1848889,3299539.20909658,55
-9150823.1848889,3299539.20909658,128
-9130823.1848889,3299539.20909658,29
-9110823.1848889,3299539.20909658,29
-9090823.1848889,3299539.20909658,18
-9070823.1848889,3299539.20909658,360
-9050823.1848889,3299539.20909658,61
-9030823.1848889,3299539.20909658,61
-9010823.1848889,3299539.20909658,2
-8990823.1848889,3299539.20909658,88
-9190823.1848889,3319539.20909658,65
-9170823.1848889,3319539.20909658,61
-9150823.1848889,3319539.20909658,36
-9130823.1848889,3319539.20909658,23
-9110823.1848889,3319539.20909658,23
-9090823.1848889,3319539.20909658,15
-9070823.1848889,3319539.20909658,1179
-9050823.1848889,3319539.20909658,215
-9030823.1848889,3319539.20909658,215
-9010823.1848889,3319539.20909658,25
-8970823.1848889,3319539.20909658,0
-9190823.1848889,3339539.20909658,31
-9170823.1848889,3339539.20909658,61
-9150823.1848889,3339539.20909658,30
-9130823.1848889,3339539.20909658,79
-9110823.1848889,3339539.20909658,79
-9090823.1848889,3339539.20909658,45
-9070823.1848889,3339539.20909658,113
-9050823.1848889,3339539.20909658,61
-9030823.1848889,3339539.20909658,61
-9010823.1848889,3339539.20909658,10
-9190823.1848889,3359539.20909658,38
-9170823.1848889,3359539.20909658,69
-9150823.1848889,3359539.20909658,54
-9130823.1848889,3359539.20909658,55
-9110823.1848889,3359539.20909658,55
-9090823.1848889,3359539.20909658,16
-9070823.1848889,3359539.20909658,23
-9050823.1848889,3359539.20909658,135
-9030823.1848889,3359539.20909658,135
-9010823.1848889,3359539.20909658,15
-9190823.1848889,3379539.20909658,38
-9170823.1848889,3379539.20909658,69
-9150823.1848889,3379539.20909658,54
-9130823.1848889,3379539.20909658,55
-9110823.1848889,3379539.20909658,55
-9090823.1848889,3379539.20909658,16
-9070823.1848889,3379539.20909658,23
-9050823.1848889,3379539.20909658,135
-9030823.1848889,3379539.20909658,135
-9010823.1848889,3379539.20909658,15
-9230823.1848889,3399539.20909658,3
-9210823.1848889,3399539.20909658,3
-9190823.1848889,3399539.20909658,3
-9170823.1848889,3399539.20909658,34
-9150823.1848889,3399539.20909658,476
-9130823.1848889,3399539.20909658,15
-9110823.1848889,3399539.20909658,15
-9090823.1848889,3399539.20909658,11
-9070823.1848889,3399539.20909658,18
-9050823.1848889,3399539.20909658,10
-9030823.1848889,3399539.20909658,10
-9250823.1848889,3419539.20909658,4
-9230823.1848889,3419539.20909658,12
-9210823.1848889,3419539.20909658,12
-9190823.1848889,3419539.20909658,14
-9170823.1848889,3419539.20909658,13
-9150823.1848889,3419539.20909658,22
-9130823.1848889,3419539.20909658,9
-9110823.1848889,3419539.20909658,9
-9090823.1848889,3419539.20909658,17
-9070823.1848889,3419539.20909658,19
-9050823.1848889,3419539.20909658,17
-9030823.1848889,3419539.20909658,17
-9270823.1848889,3439539.20909658,4
-9250823.1848889,3439539.20909658,4
-9230823.1848889,3439539.20909658,12
-9210823.1848889,3439539.20909658,12
-9190823.1848889,3439539.20909658,14
-9170823.1848889,3439539.20909658,13
-9150823.1848889,3439539.20909658,22
-9130823.1848889,3439539.20909658,9
-9110823.1848889,3439539.20909658,9
-9090823.1848889,3439539.20909658,17
-9070823.1848889,3439539.20909658,19
-9050823.1848889,3439539.20909658,17
-9270823.1848889,3459539.20909658,5
-9250823.1848889,3459539.20909658,11
-9230823.1848889,3459539.20909658,16
-9210823.1848889,3459539.20909658,16
-9190823.1848889,3459539.20909658,29
-9170823.1848889,3459539.20909658,1058
-9150823.1848889,3459539.20909658,14
-9130823.1848889,3459539.20909658,27
-9110823.1848889,3459539.20909658,27
-9090823.1848889,3459539.20909658,109
-9070823.1848889,3459539.20909658,12
-9050823.1848889,3459539.20909658,113
-9490823.1848889,3479539.20909658,29
-9470823.1848889,3479539.20909658,8
-9450823.1848889,3479539.20909658,3
-9430823.1848889,3479539.20909658,7
-9290823.1848889,3479539.20909658,3
-9270823.1848889,3479539.20909658,4
-9250823.1848889,3479539.20909658,4
-9230823.1848889,3479539.20909658,10
-9210823.1848889,3479539.20909658,10
-9190823.1848889,3479539.20909658,17
-9170823.1848889,3479539.20909658,17
-9150823.1848889,3479539.20909658,27
-9130823.1848889,3479539.20909658,20
-9110823.1848889,3479539.20909658,20
-9090823.1848889,3479539.20909658,11
-9070823.1848889,3479539.20909658,54
-9510823.1848889,3499539.20909658,29
-9490823.1848889,3499539.20909658,29
-9470823.1848889,3499539.20909658,8
-9450823.1848889,3499539.20909658,3
-9430823.1848889,3499539.20909658,7
-9410823.1848889,3499539.20909658,7
-9390823.1848889,3499539.20909658,7
-9290823.1848889,3499539.20909658,3
-9270823.1848889,3499539.20909658,4
-9250823.1848889,3499539.20909658,4
-9230823.1848889,3499539.20909658,10
-9210823.1848889,3499539.20909658,10
-9190823.1848889,3499539.20909658,17
-9170823.1848889,3499539.20909658,17
-9150823.1848889,3499539.20909658,27
-9130823.1848889,3499539.20909658,20
-9110823.1848889,3499539.20909658,20
-9090823.1848889,3499539.20909658,11
-9070823.1848889,3499539.20909658,54
-9530823.1848889,3519539.20909658,450
-9510823.1848889,3519539.20909658,6
-9490823.1848889,3519539.20909658,6
-9470823.1848889,3519539.20909658,5
-9450823.1848889,3519539.20909658,1
-9430823.1848889,3519539.20909658,5
-9410823.1848889,3519539.20909658,6
-9390823.1848889,3519539.20909658,6
-9370823.1848889,3519539.20909658,16
-9350823.1848889,3519539.20909658,6
-9330823.1848889,3519539.20909658,4
-9310823.1848889,3519539.20909658,4
