"longitude","latitude","web_x","web_y","ozone","popdens"
-87.88141232,30.49800105,-9783675.63751819,3567117.88732664,78,47
-85.80218174,33.28126104,-9552262.25522547,3932062.2147639,81,16
-87.650556,34.760556,-9758016.38742182,4130717.19068743,76,80
-86.13658707,32.49856667,-9589477.54537711,3828309.67840888,74,1020
-86.05386722,33.90403898,-9580282.91848182,4015278.36780674,75,640
-85.423117,31.19065651,-9510050.54242911,3656933.9623874,71,79
-86.815,33.553056,-9665000.44599978,3968298.84721757,93,1018
-86.915,33.485556,-9676130.70174711,3959286.2052718,88,186
-87.003611,33.331111,-9685992.47256177,3938692.07383807,91,84
-87.305556,33.459722,-9719602.74697829,3955835.98793726,87,5
-86.549167,33.545278,-9635410.82322109,3967262.1148738,81,42
-86.816667,33.386389,-9665184.47024413,3946059.98436782,93,35
-86.669167,33.704722,-9648769.35635163,3988574.51775057,81,67
-86.9425,33.801667,-9679194.60940381,4001550.63374383,90,58
-86.773889,33.578333,-9660424.66413939,3971675.6890899,95,1018
-87.3397304,34.3429044,-9723414.86447137,4074276.42628488,79,11
-86.58637,34.68767,-9639562.69042755,4120855.17295078,82,31
-88.08752639,30.76994085,-9806620.08210841,3602294.658152,77,262
-88.1411401,30.47467359,-9812585.45292708,3564103.07957344,81,251
-86.25636696,32.40711995,-9602809.32702356,3816246.39688226,80,1020
-86.97693915,34.51873526,-9683034.77217842,4098007.36324793,81,172
-85.08384083,32.46797131,-9472296.94952547,3824280.54251105,79,56
-86.825,33.316944,-9666111.37366068,3936806.26768487,94,84
-88.20186465,32.36400994,-9819359.97662464,3810549.85029328,69,7
-87.45973099,33.08959957,-9736760.42469795,3906558.88298003,80,19
-73.585,41.003611,-8192458.40018499,5012248.62706126,84,195
-73.443056,41.399167,-8176664.52790994,5070769.0454837,92,186
-73.103056,41.1525,-8138814.76064712,5034239.51626302,92,233
-73.336667,41.118333,-8164817.84202474,5029187.19890535,83,782
-72.631667,41.784722,-8086353.64551019,5128161.76270954,97,771
-73.297222,41.821389,-8160438.21198183,5133628.90003628,89,54
-72.63,41.552222,-8086164.37757213,5093517.24622949,93,104
-72.902778,41.301111,-8116523.80161125,5056235.94408185,82,233
