"","Year_Month","CO2","Year","Month"
"1","1965-01",319.32,1965,1
"2","1965-02",320.36,1965,2
"3","1965-03",320.82,1965,3
"4","1965-04",322.06,1965,4
"5","1965-05",322.17,1965,5
"6","1965-06",321.95,1965,6
"7","1965-07",321.2,1965,7
"8","1965-08",318.81,1965,8
"9","1965-09",317.82,1965,9
"10","1965-10",317.37,1965,10
"11","1965-11",318.93,1965,11
"12","1965-12",319.09,1965,12
"13","1966-01",319.94,1966,1
"14","1966-02",320.98,1966,2
"15","1966-03",321.81,1966,3
"16","1966-04",323.03,1966,4
"17","1966-05",323.36,1966,5
"18","1966-06",323.11,1966,6
"19","1966-07",321.65,1966,7
"20","1966-08",319.64,1966,8
"21","1966-09",317.86,1966,9
"22","1966-10",317.25,1966,10
"23","1966-11",319.06,1966,11
"24","1966-12",320.26,1966,12
"25","1967-01",321.65,1967,1
"26","1967-02",321.81,1967,2
"27","1967-03",322.36,1967,3
"28","1967-04",323.67,1967,4
"29","1967-05",324.17,1967,5
"30","1967-06",323.39,1967,6
"31","1967-07",321.93,1967,7
"32","1967-08",320.29,1967,8
"33","1967-09",318.58,1967,9
"34","1967-10",318.6,1967,10
"35","1967-11",319.98,1967,11
"36","1967-12",321.25,1967,12
"37","1968-01",321.88,1968,1
"38","1968-02",322.47,1968,2
"39","1968-03",323.17,1968,3
"40","1968-04",324.23,1968,4
"41","1968-05",324.88,1968,5
"42","1968-06",324.75,1968,6
"43","1968-07",323.47,1968,7
"44","1968-08",321.34,1968,8
"45","1968-09",319.56,1968,9
"46","1968-10",319.45,1968,10
"47","1968-11",320.45,1968,11
"48","1968-12",321.92,1968,12
"49","1969-01",323.4,1969,1
"50","1969-02",324.21,1969,2
"51","1969-03",325.33,1969,3
"52","1969-04",326.31,1969,4
"53","1969-05",327.01,1969,5
"54","1969-06",326.24,1969,6
"55","1969-07",325.37,1969,7
"56","1969-08",323.12,1969,8
"57","1969-09",321.85,1969,9
"58","1969-10",321.31,1969,10
"59","1969-11",322.31,1969,11
"60","1969-12",323.72,1969,12
"61","1970-01",324.6,1970,1
"62","1970-02",325.57,1970,2
"63","1970-03",326.55,1970,3
"64","1970-04",327.8,1970,4
"65","1970-05",327.8,1970,5
"66","1970-06",327.54,1970,6
"67","1970-07",326.28,1970,7
"68","1970-08",324.63,1970,8
"69","1970-09",323.12,1970,9
"70","1970-10",323.11,1970,10
"71","1970-11",323.99,1970,11
"72","1970-12",325.09,1970,12
"73","1971-01",326.12,1971,1
"74","1971-02",326.61,1971,2
"75","1971-03",327.16,1971,3
"76","1971-04",327.92,1971,4
"77","1971-05",329.14,1971,5
"78","1971-06",328.8,1971,6
"79","1971-07",327.52,1971,7
"80","1971-08",325.62,1971,8
"81","1971-09",323.61,1971,9
"82","1971-10",323.8,1971,10
"83","1971-11",325.1,1971,11
"84","1971-12",326.25,1971,12
"85","1972-01",326.93,1972,1
"86","1972-02",327.83,1972,2
"87","1972-03",327.95,1972,3
"88","1972-04",329.91,1972,4
"89","1972-05",330.22,1972,5
"90","1972-06",329.25,1972,6
"91","1972-07",328.11,1972,7
"92","1972-08",326.39,1972,8
"93","1972-09",324.97,1972,9
"94","1972-10",325.32,1972,10
"95","1972-11",326.54,1972,11
"96","1972-12",327.71,1972,12
"97","1973-01",328.73,1973,1
"98","1973-02",329.69,1973,2
"99","1973-03",330.47,1973,3
